caseId,dateDecision,decisionType,usCite,sctCite,term,naturalCourt,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes
2010-003,11/30/10,1,562 U.S. 29,131 S. Ct. 447,2010,1704,09-350,"LOS ANGELES COUNTY, CALIFORNIA, PETITIONER v. CRAIG ARTHUR HUMPHRIES et al.",10/5/10,,5,6,202,,1,0,48,,29,,0,12,7,2,1,4,0,1,0,0,20400,2,1,0,4,,3,314,NA,110,111,1,8,0
2010-004,12/13/10,5,562 U.S. 40,131 S. Ct. 565,2010,1704,08-1423,"COSTCO WHOLESALE CORPORATION, PETITIONER  v. OMEGA, S.A.",11/8/10,,252,,234,,1,0,,,29,,0,12,3,2,1,2,0,0,0,0,80190,8,2,0,3,,9,900,NA,,,1,4,4
2010-005,1/10/11,2,562 U.S. 42,131 S. Ct. 704,2010,1704,Oct-72,"MADISON COUNTY, NEW YORK et al.v. ONEIDA INDIAN NATION OF NEW YORK",,,5,37,170,,1,0,95,,22,,0,11,2,2,1,3,0,1,0,0,20150,2,1,0,3,,9,900,NA,,111,1,8,0
2010-007,1/11/11,1,562 U.S. 61,131 S. Ct. 716,2010,1704,09-907,"JASON M. RANSOM, PETITIONER v. FIA CARD SERVICES, N.A., FKA MBNA AMERICA BANK, N.A.",10/4/10,,138,,135,,1,0,90,,29,,0,2,2,2,1,2,0,0,0,0,80030,8,1,0,4,,3,307,NA,114,111,1,8,1
2010-009,1/19/11,1,562 U.S. 115,131 S. Ct. 733,2010,1704,09-658,"JEFF PREMO, SUPERINTENDENT, OREGON STATE PENITENTIARY, PETITIONER v. RANDY JOSEPH MOORE",10/12/10,,28,43,215,,1,0,108,,29,,1,12,4,2,1,4,0,1,0,0,20330,2,1,0,2,,2,205,NA,106,111,1,8,0
2010-010,1/19/11,1,562 U.S. 134,131 S. Ct. 746,2010,1704,09-530,"NATIONAL AERONAUTICS AND SPACE ADMINISTRATION, et al., PETITIONERS v. ROBERT M. NELSON et al.",10/5/10,,376,,8,60,1,0,48,,29,,0,12,4,2,1,4,0,1,0,0,50040,5,1,0,4,7,6,600,"Privacy Act of 1974, 5 USC 552",112,111,1,8,0
2010-012,1/24/11,1,562 U.S. 195,131 S. Ct. 871,2010,1704,09-329,"CHASE BANK USA, NA., PETITIONER v. JAMES A. MCCOY, INDIVIDUALLY AND ON BEHALF OF ALL OTHERS SIMILARLY SITUATED",12/8/10,,113,,138,,1,0,48,,29,,1,2,6,2,1,4,0,1,0,0,80170,8,1,0,5,4,3,373,NA,113,111,1,9,0
2010-013,1/24/11,1,562 U.S. 180,131 S. Ct. 884,2010,1704,09-737,"MICHELLE ORITZ, PETITIONER v. PAULA JORDAN et al.",11/1/10,,215,,19,41,1,0,104,,26,,0,2,4,1,1,4,0,1,0,0,20400,2,2,0,5,,3,314,NA,109,111,1,9,0
2010-014,1/24/11,1,562 U.S. 170,131 S. Ct. 863,2010,1704,09-291,"ERIC L. THOMPSON, PETITIONER v. NORTH AMERICAN STAINLESS, LP",12/7/10,,145,,151,,1,0,73,,26,,1,12,2,1,1,4,0,1,0,0,20060,2,2,0,4,,3,384,NA,105,111,1,8,0
2010-015,2/22/11,1,562 U.S. 223,131 S. Ct. 1068,2010,1704,09-152,"RUSSEL BRUESEWITZ, et al. PETITIONERS v. WYETH LLC, FKA WYETH, INC., FKA WYETH LABORATORIES, et al.",10/12/10,,175,,143,,1,0,109,,23,,0,12,2,1,1,2,0,0,0,0,100030,10,2,0,4,,6,600,42 USCA 300aa,105,111,1,6,2
